Latitude,Longitude,Country,PowerPlant Site
26.577329740582876,-10.126532058555856,Western Sahara,False
23.289365443053377,-12.98377014369492,Western Sahara,False
26.06022599895359,-11.802630152957146,Western Sahara,False
21.381617452151374,-16.073659506622732,Western Sahara,False
26.422626262885082,-10.455993323164051,Western Sahara,False
22.00575487953352,-13.746834530058454,Western Sahara,False
25.539791655207722,-12.10543409165125,Western Sahara,False
22.318560469413057,-13.594669998179953,Western Sahara,False
51.57882397099773,-97.36843066285712,Canada,False
82.04807536000469,-74.96511171676093,Canada,False
64.24438325769519,-82.79435921084524,Canada,False
47.95524234430366,-57.61744083519446,Canada,False
70.15816415229567,-95.80021662613493,Canada,False
52.02984868379899,-62.62634827604323,Canada,False
73.30556587962717,-88.16056308308728,Canada,False
55.641995596742966,-98.11537765633338,Canada,False
82.26222411915623,-78.95776782015791,Canada,False
81.14974568081571,-93.57383656094882,Canada,False
52.70737302157704,-128.3098692856651,Canada,False
78.38766054637154,-87.26880270220971,Canada,False
54.84815286877618,-76.96499317701787,Canada,False
53.11319516021297,-82.23045361089359,Canada,False
60.63168675367721,-138.999171432197,Canada,False
67.97316552012016,-135.21771528878259,Canada,False
60.85492016897473,-119.09359252650566,Canada,False
59.67727914460269,-115.03810908122009,Canada,False
55.56866106401732,-125.45983906204945,Canada,False
60.29802862970368,-108.17306328945479,Canada,False
39.269396679525215,-107.51546906169692,United States of America,False
65.7891539954402,-144.6353860949864,United States of America,False
40.43973724484769,-89.21335106157383,United States of America,False
42.35207266975253,-79.2191690316398,United States of America,False
31.079718762532202,-99.03580922481758,United States of America,False
43.860578866365,-109.48069023778095,United States of America,False
64.88455817716023,-149.08323288331604,United States of America,False
39.73440717551875,-122.1955316288892,United States of America,False
65.07673436073205,-141.96294175803206,United States of America,False
30.09901748983056,-90.076985236222,United States of America,False
32.270726220378414,-87.78307872133021,United States of America,False
45.40179135176159,-85.28855678823871,United States of America,False
34.59336403587665,-93.23883010608031,United States of America,False
36.928222521873934,-115.15129393547704,United States of America,False
34.84977868617469,-97.58002528030026,United States of America,False
46.5737901509788,-99.45453486222064,United States of America,False
32.77461459740786,-92.32573517842704,United States of America,False
41.35915238013581,-87.29418958360196,United States of America,False
59.26061754235773,-155.99421080874805,United States of America,False
66.10017279204155,-141.2506518266203,United States of America,False
48.70958803496636,77.76940459562312,Kazakhstan,False
44.15881748857618,73.72223019884139,Kazakhstan,False
50.85671948036028,71.82544807916193,Kazakhstan,False
47.43621488032395,53.97706703206953,Kazakhstan,False
46.998437500659136,64.0286918531754,Kazakhstan,False
43.29836431711858,54.03418389197135,Kazakhstan,False
50.2463358815776,80.36299124725753,Kazakhstan,False
46.68790100393302,66.4942780430038,Kazakhstan,False
44.87252738382972,78.10087284791891,Kazakhstan,False
44.39365697266655,80.14223057577371,Kazakhstan,False
45.200976901150696,74.37618406713284,Kazakhstan,False
50.217814599646644,75.59020488128911,Kazakhstan,False
48.05184727878549,48.97252175794853,Kazakhstan,False
44.60872918135065,55.42320172555592,Kazakhstan,False
45.73737599040825,58.718961414516365,Kazakhstan,False
50.07680789880429,78.9992974717147,Kazakhstan,False
50.04828409386421,57.16432988724277,Kazakhstan,False
46.13521535168199,68.25237411942243,Kazakhstan,False
44.175793187811244,51.6074532339383,Kazakhstan,False
51.81548054244415,62.54782488961261,Kazakhstan,False
43.07075352834288,62.752382430326286,Uzbekistan,False
43.44089670970371,63.793885063415445,Uzbekistan,False
43.859255363538864,60.974591883327406,Uzbekistan,False
43.40706109474815,56.002222001052,Uzbekistan,False
44.53501624197908,59.24638556512099,Uzbekistan,False
44.416970421390175,56.48733300035079,Uzbekistan,False
43.0521984192459,57.47743392351229,Uzbekistan,False
43.14843113666948,58.659142847988655,Uzbekistan,False
40.69854116836197,65.13655822703461,Uzbekistan,False
42.22899341264476,56.451174285819036,Uzbekistan,False
39.603796010701345,66.5963834758811,Uzbekistan,False
41.4939109326802,64.91931913762403,Uzbekistan,False
39.10924388814289,65.64622077668346,Uzbekistan,False
41.16206920985688,63.639939268717924,Uzbekistan,False
43.154498560282235,58.65947717020331,Uzbekistan,False
38.39740639826647,65.37309005123518,Uzbekistan,False
40.260536220584896,63.39552196595709,Uzbekistan,False
40.625607588643824,65.18376381089664,Uzbekistan,False
41.12656527298076,72.07388017388627,Uzbekistan,False
43.19575755218078,58.18940185548311,Uzbekistan,False
-5.386234050109002,149.91375815051836,Papua New Guinea,False
-8.783014023289336,148.42791229795557,Papua New Guinea,False
-5.876870482014417,149.93245365983537,Papua New Guinea,False
-6.562819045947081,144.8597988853084,Papua New Guinea,False
-6.478422028149229,147.1158448328456,Papua New Guinea,False
-10.090582616312451,149.96775337275193,Papua New Guinea,False
-9.36687894800626,148.12392298709048,Papua New Guinea,False
-6.447954375508176,145.6003049687859,Papua New Guinea,False
-5.694307019076869,151.0204759263887,Papua New Guinea,False
-5.2520660613814805,151.40595261446748,Papua New Guinea,False
-6.0502696186145855,141.14542625686394,Papua New Guinea,False
-5.576369417766254,141.46454528486316,Papua New Guinea,False
-7.452777058059635,144.05149813377488,Papua New Guinea,False
-4.729593986495785,141.27530886711065,Papua New Guinea,False
-3.6985543823101246,142.19638232973577,Papua New Guinea,False
-4.370441439436394,142.6892091470632,Papua New Guinea,False
-5.453062252998842,143.26629206445438,Papua New Guinea,False
-5.073017379102951,141.34697509106618,Papua New Guinea,False
-6.397580907379716,143.4147134471642,Papua New Guinea,False
-8.726831781447293,146.87396847403738,Papua New Guinea,False
-0.6341460920159783,100.92687914569916,Indonesia,False
-4.06961337276079,103.23763449476361,Indonesia,False
-2.275294786789731,121.09647053687559,Indonesia,False
-2.0801207564651314,119.58279571313153,Indonesia,False
5.337460487466895,96.64360748320996,Indonesia,False
-7.319892184772905,138.92423955566176,Indonesia,False
0.2243905546311531,101.17397045525637,Indonesia,False
-8.09538260847154,111.88849015860056,Indonesia,False
1.946135549545513,100.67051927370099,Indonesia,False
-5.707264212409665,140.90857666106842,Indonesia,False
-8.706213257349477,118.12216178432885,Indonesia,False
-1.0309891967625866,113.23974624133112,Indonesia,False
-7.670544208228606,140.57014021866266,Indonesia,False
-3.1294840799507213,114.3258900997098,Indonesia,False
5.455011812994323,95.47243310751936,Indonesia,False
-0.26260698655696046,110.14892434061045,Indonesia,False
-1.8939195349169715,114.44075288695151,Indonesia,False
-2.724668411013605,134.24311482948468,Indonesia,False
-0.6397289551493728,101.61532872484594,Indonesia,False
-2.049404892842963,138.91881166525783,Indonesia,False
-37.286564634517745,-67.80135070874287,Argentina,False
-24.250266663037564,-63.70399040424507,Argentina,False
-32.98162195676812,-59.09559387980884,Argentina,False
-37.469689031124844,-67.79250795752482,Argentina,False
-51.80215744073701,-69.98096908312822,Argentina,False
-37.75259272263817,-61.02592818021128,Argentina,False
-36.75351349706668,-64.3280661439757,Argentina,False
-28.447412092565653,-57.82747128183108,Argentina,False
-38.97646134239497,-64.6379383790246,Argentina,False
-22.521732934397313,-64.93816112670586,Argentina,False
-32.76700492470839,-68.31161364074786,Argentina,False
-25.701614970437046,-61.02543032938385,Argentina,False
-31.454124026808138,-66.55465745630208,Argentina,False
-47.60861486107518,-66.97427162066056,Argentina,False
-28.04724295779145,-63.544761525531555,Argentina,False
-28.056937654775002,-58.97222198578536,Argentina,False
-30.12232055334502,-57.905392867685876,Argentina,False
